sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;groundSteering; groundSteering-calculated
1584543624;129529;1339;616327;1584543624;129529;-0; 0.19307199903695899;
1584543624;229996;1339;716784;1584543624;229996;-0; 0.19462671074412757;
1584543624;330422;1339;817209;1584543624;330422;0.05998505; 0.21566046245989806;
1584543624;430886;1339;917737;1584543624;430886;0.1889392; -0.024142270895526674;
1584543624;531408;1340;18201;1584543624;531408;-0; 0.1927722576187899;
1584543624;631872;1340;118668;1584543624;631872;-0; 0.21845143738771172;
1584543624;732384;1340;219185;1584543624;732384;-0; 0.20090887199950097;
1584543624;832896;1340;319698;1584543624;832896;-0; -0.04297645227073216;
1584543624;933413;1340;420200;1584543624;933413;-0; 0.22221162086864638;
1584543625;33928;1340;520737;1584543625;33928;0.07197852; 0.19957077191410594;
1584543625;134466;1340;621269;1584543625;134466;0.2249284; 0.2721190768711554;
1584543625;235071;1340;721858;1584543625;235071;0.1799374; 0.24834975569593548;
1584543625;335655;1340;822444;1584543625;335655;-0; 0.2734864280802219;
1584543625;436256;1340;923043;1584543625;436256;-0; 0.1805571671694613;
1584543625;536853;1341;23643;1584543625;536853;-0; 0.2716059944714461;
1584543625;637425;1341;124217;1584543625;637425;-0; 0.16063645743403182;
1584543625;738019;1341;224807;1584543625;738019;-0; 0.2441997537294171;
1584543625;838649;1341;325438;1584543625;838649;-0; -0.12510250287506364;
1584543625;939359;1341;426153;1584543625;939359;-0; 0.27660189917122663;
1584543626;39914;1341;526704;1584543626;39914;-0; -0.10658215430014861;
1584543626;140375;1341;627161;1584543626;140375;-0; 0.2897659514109711;
1584543626;240819;1341;727614;1584543626;240819;-0; 0.24413048340849147;
1584543626;341740;1341;828635;1584543626;341740;-0; 0.24376950396213154;
1584543626;442600;1341;929448;1584543626;442600;-0; 0.24745133140699177;
1584543626;543328;1342;30164;1584543626;543328;-0; 0.2784612204159666;
