X-Position,Y-Position,Width,Height
tensor(19.0464),tensor(327.3729),tensor(28.7877),tensor(39.4064)
tensor(601.8542),tensor(388.6982),tensor(41.2219),tensor(58.0067)
tensor(527.7209),tensor(327.6342),tensor(24.8567),tensor(38.3710)
tensor(226.7960),tensor(297.8890),tensor(14.8801),tensor(21.4858)
----- NEW FRAME -----
tensor(222.3599),tensor(300.9055),tensor(17.5265),tensor(24.6772)
tensor(559.9532),tensor(337.1532),tensor(29.8716),tensor(41.0945)
tensor(314.0493),tensor(285.5247),tensor(12.5479),tensor(22.7412)
tensor(559.5706),tensor(318.1136),tensor(30.7434),tensor(80.8328)
tensor(564.2079),tensor(301.0862),tensor(21.2131),tensor(42.4711)
----- NEW FRAME -----
tensor(218.3900),tensor(302.6936),tensor(18.7675),tensor(27.8622)
tensor(602.8502),tensor(346.9607),tensor(35.7996),tensor(50.9867)
tensor(317.4493),tensor(285.9035),tensor(14.7121),tensor(23.9792)
tensor(591.6373),tensor(303.2574),tensor(25.2839),tensor(47.4285)
tensor(403.0928),tensor(272.3604),tensor(9.4277),tensor(13.9681)
----- NEW FRAME -----
tensor(626.0337),tensor(318.6344),tensor(26.6606),tensor(38.4696)
tensor(211.1971),tensor(307.1466),tensor(19.6910),tensor(30.5356)
tensor(319.3683),tensor(288.8082),tensor(14.6357),tensor(22.6176)
tensor(615.7272),tensor(289.7069),tensor(24.4624),tensor(34.6479)
tensor(378.9998),tensor(273.6785),tensor(11.6189),tensor(27.2305)
tensor(408.6901),tensor(273.1343),tensor(10.4236),tensor(15.9711)
tensor(579.4299),tensor(273.0406),tensor(10.3158),tensor(14.6092)
----- NEW FRAME -----
tensor(196.9336),tensor(312.0485),tensor(22.6404),tensor(34.2763)
tensor(631.0156),tensor(288.7696),tensor(17.9687),tensor(37.6239)
tensor(317.3009),tensor(288.4736),tensor(16.1080),tensor(24.4851)
tensor(380.0921),tensor(272.8691),tensor(11.2444),tensor(25.1750)
----- NEW FRAME -----
tensor(175.8899),tensor(314.7290),tensor(23.6360),tensor(37.7236)
tensor(312.2494),tensor(287.7744),tensor(16.6390),tensor(25.0208)
tensor(410.2766),tensor(268.0087),tensor(10.6262),tensor(17.3334)
----- NEW FRAME -----
tensor(149.1054),tensor(322.2181),tensor(28.7337),tensor(42.9318)
tensor(306.0275),tensor(289.0906),tensor(16.0890),tensor(26.3977)
